[14:21:13] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[14:21:13] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[14:21:13] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[14:21:13] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[14:21:13] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[14:21:13] [main/INFO]: Reloading ResourceManager: Default
[14:21:14] [Worker-Main-9/INFO]: Loaded 7 recipes
[14:21:14] [Worker-Main-9/INFO]: Loaded 927 advancements
[14:21:17] [Server thread/INFO]: Starting minecraft server version 1.16.3
[14:21:17] [Server thread/INFO]: Loading properties
[14:21:17] [Server thread/INFO]: Default game type: SURVIVAL
[14:21:17] [Server thread/INFO]: Generating keypair
[14:21:17] [Server thread/INFO]: Starting Minecraft server on *:25565
[14:21:17] [Server thread/INFO]: Using default channel type
[14:21:19] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[14:21:19] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[14:21:19] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[14:21:19] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[14:21:19] [Server thread/INFO]: Preparing level "world"
[14:21:29] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[14:21:29] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[14:21:30] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[14:21:30] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[14:21:31] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[14:21:31] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[14:21:32] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[14:21:32] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[14:21:33] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[14:21:33] [Worker-Main-7/INFO]: Preparing spawn area: 1%
[14:21:34] [Worker-Main-14/INFO]: Preparing spawn area: 1%
[14:21:34] [Worker-Main-6/INFO]: Preparing spawn area: 1%
[14:21:35] [Worker-Main-8/INFO]: Preparing spawn area: 1%
[14:21:35] [Worker-Main-6/INFO]: Preparing spawn area: 1%
[14:21:36] [Worker-Main-8/INFO]: Preparing spawn area: 1%
[14:21:36] [Worker-Main-7/INFO]: Preparing spawn area: 4%
[14:21:37] [Worker-Main-8/INFO]: Preparing spawn area: 4%
[14:21:37] [Worker-Main-8/INFO]: Preparing spawn area: 6%
[14:21:38] [Worker-Main-14/INFO]: Preparing spawn area: 6%
[14:21:38] [Worker-Main-14/INFO]: Preparing spawn area: 6%
[14:21:39] [Worker-Main-8/INFO]: Preparing spawn area: 6%
[14:21:39] [Worker-Main-10/INFO]: Preparing spawn area: 6%
[14:21:40] [Worker-Main-6/INFO]: Preparing spawn area: 6%
[14:21:40] [Worker-Main-8/INFO]: Preparing spawn area: 9%
